,tweet_id,created_date,username,location,retweeted_username,content_type,mentioned_users,text,positive_sent_score,negative_sent_score,compound_sent_score
1318,1497330351395557382,Fri Feb 25 21:59:09 +0000 2022,Robert Redmayne Hosking,TELFORD UK,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1324,1497328194491502592,Fri Feb 25 21:50:35 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],Weakness &amp; Fear: How Will Russia Stay Relevant In A World Moving Away From Oil &amp; Gas? https://t.co/a0CBm2lzgH #Tesla #EV #ClimateChange #Renewables #RenewableEnergy,0.0,22.2,22.2
1327,1497327437230882823,Fri Feb 25 21:47:34 +0000 2022,April,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1328,1497327181415940098,Fri Feb 25 21:46:33 +0000 2022,EndViolenceAgainstWomen,Melbourne,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1345,1497324828751138817,Fri Feb 25 21:37:12 +0000 2022,KK AND FAMILY,"East Midlands, England",JT,RT,['JT'],RT @JTomaz12: Want to know what you can do to punish #Putin / #Russia? Buy an #EV. Put #SolarPower on your roof. Organize and #vote for peo…,4.4,11.4,11.4
1375,1497318757039058955,Fri Feb 25 21:13:05 +0000 2022,energyreferral.xyz,,JT,RT,['JT'],RT @JTomaz12: Want to know what you can do to punish #Putin / #Russia? Buy an #EV. Put #SolarPower on your roof. Organize and #vote for peo…,4.4,11.4,11.4
1381,1497318525999927298,Fri Feb 25 21:12:10 +0000 2022,John Snowmountainer,,JT,RT,['JT'],RT @JTomaz12: Want to know what you can do to punish #Putin / #Russia? Buy an #EV. Put #SolarPower on your roof. Organize and #vote for peo…,4.4,11.4,11.4
1390,1497316460699340803,Fri Feb 25 21:03:57 +0000 2022,JT,"California, USA, Earth",JT,Tweet (self-loop),[],Want to know what you can do to punish #Putin / #Russia? Buy an #EV. Put #SolarPower on your roof. Organize and #vote for people who are serious about #ClimateChange. Pressure your local state and utility to decarbonize and add storage 🔋 to the grid. #renewableenergy $TSLA #TSLA,2.5,13.2,13.2
1396,1497314156621426689,Fri Feb 25 20:54:48 +0000 2022,Abel Galvan,California,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1398,1497313236277997568,Fri Feb 25 20:51:08 +0000 2022,Complast Ltd,Italy,Veritas Vincit🇺🇦💉💉🇵🇸🇱🇧,RT,"['Veritas Vincit🇺🇦💉💉🇵🇸🇱🇧', 'Mike Cannon-Brookes 👨🏼\u200d💻🧢🇦🇺']",RT @veritas_vincent: @mcannonbrookes Coal Oil Gas have been fought over for years. #renewableenergy must be the Path of the Future. #Dinosa…,0.0,10.3,10.3
1400,1497312712803553283,Fri Feb 25 20:49:04 +0000 2022,Veritas Vincit🇺🇦💉💉🇵🇸🇱🇧,In Your Mind. ,Veritas Vincit🇺🇦💉💉🇵🇸🇱🇧,Tweet (self-loop),['Mike Cannon-Brookes 👨🏼\u200d💻🧢🇦🇺'],@mcannonbrookes Coal Oil Gas have been fought over for years. #renewableenergy must be the Path of the Future. #DinosaursInPower,0.0,11.3,11.3
1406,1497310969248292876,Fri Feb 25 20:42:08 +0000 2022,Pefnic,"New Jersey, United States",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1413,1497308868757569539,Fri Feb 25 20:33:47 +0000 2022,Daryl Delsignore,"Michigan, USA",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1416,1497308299682664451,Fri Feb 25 20:31:31 +0000 2022,Youssuf Sabek,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1417,1497308236646604804,Fri Feb 25 20:31:16 +0000 2022,The Greta Effect-EarthWins,Planet Earth,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1422,1497306874919768069,Fri Feb 25 20:25:52 +0000 2022,Roxie,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1433,1497305485904531459,Fri Feb 25 20:20:21 +0000 2022,James Glen Ford,"Joplin, MO",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1437,1497304753180749829,Fri Feb 25 20:17:26 +0000 2022,renewables,,zxcxz,RT,['zxcxz'],"RT @Zxcxz_xyz: Podcast: Elon Musk’s weird fight with the SEC, new Tesla factory, Nissan Leaf 2022, and more https://t.co/JoXvXGhVLI #Electr…",0.0,19.3,19.3
1441,1497304219224784906,Fri Feb 25 20:15:19 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Podcast: Elon Musk’s weird fight with the SEC, new Tesla factory, Nissan Leaf 2022, and more https://t.co/JoXvXGhVLI #ElectricVehicles #Renewables #RenewableEnergy",0.0,19.3,19.3
1463,1497302354634231813,Fri Feb 25 20:07:54 +0000 2022,Job Arismendi,Santa Lucia Uruguay,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1476,1497298262512087046,Fri Feb 25 19:51:38 +0000 2022,Wendy Hijos,"Albany, NY",Consumer Energy Alliance,RT,['Consumer Energy Alliance'],"RT @CEAorg: The U.S. electric grid is set to add a record number of batteries this year as mandates, lower costs and pressure to add #renew…",4.5,15.3,15.3
1477,1497298080856739847,Fri Feb 25 19:50:55 +0000 2022,Melissa Spencer,Ireland,Melissa Spencer,Tweet (self-loop),[],This is how we defeat Putin and other petrostate autocrats #renewableenergy #WarIsNotTheAnswer  https://t.co/eiTsgGEoQW,0.0,20.0,20.0
1480,1497296051576791042,Fri Feb 25 19:42:51 +0000 2022,M San,"California, USA",M San,Tweet (self-loop),"['Sky Sports', 'Bloomberg', 'Reuters Business', 'BBC News (UK)', 'NATO', 'United Nations', 'Christiane Amanpour', 'CNN International', 'VoteVets', 'NPR']",What a speech!!! But really ON POINT??! #noroomforbullies #autocracyout #theworldiswatching #StandForUkraine @SkySports @business @ReutersBiz business world NEEDS to #StopTheWar @BBCNews @NATO @UN cut off NEED for gas oil from them #renewableenergy @amanpour @cnni @votevets @NPR https://t.co/zol5W6mtSA,0.0,10.7,10.7
1488,1497293051341021188,Fri Feb 25 19:30:56 +0000 2022,Take a guess,London,Powerledger,RT,"['Powerledger', 'Ember']",RT @PowerLedger_io: “The gas crisis has really demonstrated that Europe needs to get serious about renewables deployment” - @EmberClimate.…,0.0,24.1,24.1
1498,1497289754500640771,Fri Feb 25 19:17:50 +0000 2022,GlobalUnion,"Planet Earth, The Universe",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1500,1497289584387846147,Fri Feb 25 19:17:09 +0000 2022,Robespierre was woke,Mountains Arkansas,SCVIndy,RT,"['SCVIndy', 'Teddy Morgan', 'Robespierre was woke', 'Kristi Noem', 'GOP']","RT @SCVIndy: @TeddyMorganJ @HillaryGuess @KristiNoem For context #greennewdeal

Poor #energy planning by @gop has US #economy based ~80% NO…",9.5,14.0,14.0
1529,1497285513413152771,Fri Feb 25 19:00:59 +0000 2022,SheiliaWolever (imagine A blue sky),"California, USA,Earth.",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1534,1497285257334177793,Fri Feb 25 18:59:58 +0000 2022,Marlon Taylor,"Victoria, British Columbia",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1544,1497281596281528328,Fri Feb 25 18:45:25 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Electric Cars, Winter Driving, Range Anxiety, &amp; You https://t.co/ib0OFns8mD #Tesla #EV #ClimateChange #Renewables #RenewableEnergy",0.0,11.6,11.6
1547,1497280829667557383,Fri Feb 25 18:42:22 +0000 2022,Master Jedi 📡👽🛸,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1565,1497277249430732800,Fri Feb 25 18:28:08 +0000 2022,Complast Ltd,Italy,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1576,1497274738439241733,Fri Feb 25 18:18:10 +0000 2022,James Connelly,Beverley,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1581,1497273972517646336,Fri Feb 25 18:15:07 +0000 2022,TANi_TANi,"Phuket, Thailand",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1594,1497273198622416902,Fri Feb 25 18:12:03 +0000 2022,Dhritiman Deka,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1598,1497272513650257922,Fri Feb 25 18:09:19 +0000 2022,James King,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1600,1497272021712965634,Fri Feb 25 18:07:22 +0000 2022,Ruth Malone RNPhD BollardGranny™️,San Francisco,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1601,1497271918449369091,Fri Feb 25 18:06:57 +0000 2022,Derek Mooney 🇺🇦🇮🇪🇪🇺,Dublin and Brussels,Justin Moran,RT,"['Justin Moran', 'Senator Erin McGreehan']",RT @moranjustin: Fair play to @ErinMcGreehan for highlighting the scandalous amount of #RenewableEnergy lost every year because the grid is…,17.8,21.6,21.6
1602,1497271392693526534,Fri Feb 25 18:04:52 +0000 2022,Saleemul Huq,"London, UK",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1617,1497268620686151694,Fri Feb 25 17:53:51 +0000 2022,carmen,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1622,1497267935856893953,Fri Feb 25 17:51:08 +0000 2022,P.M.오빠,Delivery staf,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1637,1497266551602532359,Fri Feb 25 17:45:38 +0000 2022,Biofuels Central,Netherlands,Biofuels Central,Tweet (self-loop),"['Geoffrey Tauvette', 'C-SAF', 'Omar Alghabra', 'Transports Canada', 'Transport Canada']","Low Carbon Aviation – Canadian Council for Sustainable Aviation Fuels is Launched

@gtauve
@csafincanada
@OmarAlghabra
@Transports_gc
@Transport_gc

#BiofuelsCentral #BiofuelsNews #Biodiesel #Biofuels #BiofuelsMarket #RenewableEnergy

https://t.co/eIv0XmGL5B",5.9,8.2,8.2
1656,1497262628158193666,Fri Feb 25 17:30:03 +0000 2022,Energize East Hampton,"East Hampton, NY",Energize East Hampton,Tweet (self-loop),['Bureau of Ocean Energy Management'],"UPDATE: @BOEM has so far collected a total of USD 4.17 billion in the country's biggest ever offshore wind auction. The biggest lease site alone is currently priced at USD 1.07 billion. https://t.co/T6FMBhKtKa

#OffshoreWind #RenewableEnergy #NewYork #NewJersey https://t.co/4vV5gzHfuN",0.0,5.1,5.1
1661,1497262380920754179,Fri Feb 25 17:29:04 +0000 2022,Ghost,Turkey,Ghost,Tweet (self-loop),[],"Lets speed up the renewable energy transition, screw russian gas. Also screw any kind of fossil fuel.
#renewableenergy #GasPrice #Ukraine #Europe #Biden #USA",8.4,11.2,11.2
1673,1497261461923516417,Fri Feb 25 17:25:24 +0000 2022,Dani Faucher 🇦🇺🇨🇦🖐,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1674,1497261300904304660,Fri Feb 25 17:24:46 +0000 2022,kathie c,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1680,1497260337367638025,Fri Feb 25 17:20:56 +0000 2022,Meridian Associates,"Beverly, MA",Meridian Associates,Tweet (self-loop),"['Nexamp', 'RE+ Events']","At the Solar &amp; Energy Storage Northeast event held in Boston, Meridian client, @Nexamp CEO Zaid Ashai as part of opening panel states, ""stakeholder alignment is difficult but must occur to mitigate climate change.""

#IRL2022 #REplusNE #solarenergy #renewableenergy @SPIConvention https://t.co/PrCrVlVN8y",3.8,4.2,4.2
1690,1497258961585807361,Fri Feb 25 17:15:28 +0000 2022,Offshore WIND,"Rotterdam, The Netherlands",Offshore WIND,Tweet (self-loop),['Bureau of Ocean Energy Management'],"UPDATE: @BOEM has so far collected a total of USD 4.17 billion in the country's biggest ever offshore wind auction. The biggest lease site alone is currently priced at USD 1.07 billion. https://t.co/2I4lTCD0UZ

#OffshoreWind #RenewableEnergy #NewYork #NewJersey https://t.co/8fW3quAfan",0.0,5.1,5.1
1691,1497258848528314371,Fri Feb 25 17:15:01 +0000 2022,INSPIREenvironmental,"Newport, RI",Offshore WIND,RT,['Offshore WIND'],RT @OffshoreWINDbiz: One lease site alone now went beyond USD 1 billion in the New York Bight offshore wind auction: https://t.co/2I4lTCD0U…,0.0,9.1,9.1
1713,1497255851777617920,Fri Feb 25 17:03:07 +0000 2022,Rick van der Weij,"San Francisco, CA",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1721,1497255067728191488,Fri Feb 25 17:00:00 +0000 2022,janggolan,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1726,1497254802232909824,Fri Feb 25 16:58:57 +0000 2022,AbdulJaleel,Ilorin,AbdulJaleel,Tweet (self-loop),[],#renewableenergy is the remedy to all this madness...,0.0,32.5,32.5
1727,1497254689448120331,Fri Feb 25 16:58:30 +0000 2022,Del finn,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1728,1497254321796239360,Fri Feb 25 16:57:02 +0000 2022,JovicGin,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1730,1497254008091774977,Fri Feb 25 16:55:47 +0000 2022,J Lynn Fraser,Toronto,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1733,1497253790063513601,Fri Feb 25 16:54:55 +0000 2022,Magrus,Earth,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1737,1497252919569125377,Fri Feb 25 16:51:28 +0000 2022,"BarbaraGirouard, Stranger in a Stranger Land",Middle of Erehwon,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1739,1497252709900034050,Fri Feb 25 16:50:38 +0000 2022,Jacqui Gingras,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1740,1497252707480002566,Fri Feb 25 16:50:37 +0000 2022,stanleyp,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1741,1497252656250687490,Fri Feb 25 16:50:25 +0000 2022,Ross Hammersley,"Traverse City, Michigan",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1744,1497252281674354688,Fri Feb 25 16:48:56 +0000 2022,Gary Catterall,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1745,1497252205556076546,Fri Feb 25 16:48:38 +0000 2022,Marjukka Kaminen,"Oulu, Finland 🇫🇮🇪🇺🇺🇸",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1747,1497252141144150023,Fri Feb 25 16:48:22 +0000 2022,kevin russell,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1748,1497252074144387083,Fri Feb 25 16:48:06 +0000 2022,Dwight Loce,"Jacksonville, Florida",Josh Gellers,RT,['Josh Gellers'],"RT @JoshGellers: Just imagine- if Europe wasn’t beholden to Russian oil and gas, it would be a lot easier to simply choke off Russian energ…",9.6,11.9,11.9
1749,1497251894586077184,Fri Feb 25 16:47:23 +0000 2022,David A Johnson,"Northern Virginia, USA",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1753,1497251677581291522,Fri Feb 25 16:46:32 +0000 2022,Marjo van Gennip,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1755,1497251526485684225,Fri Feb 25 16:45:56 +0000 2022,ELIZABETH LIZARAZO R,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1757,1497251382058962944,Fri Feb 25 16:45:21 +0000 2022,JoanEmp6,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1758,1497251359137177602,Fri Feb 25 16:45:16 +0000 2022,Danielle 🏳️‍🌈,United States,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1760,1497251321564438530,Fri Feb 25 16:45:07 +0000 2022,UniswapDoctor,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
1761,1497251218510467072,Fri Feb 25 16:44:42 +0000 2022,XRToronto,"Toronto, Ontario",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1762,1497251213016027141,Fri Feb 25 16:44:41 +0000 2022,🇺🇦🌻Jewelles,,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1763,1497251178194915329,Fri Feb 25 16:44:33 +0000 2022,Rozina Spinnoy,"Belgium, Europe ",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1764,1497251118065152001,Fri Feb 25 16:44:18 +0000 2022,dylan,Stolen Kalapuya land,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
1766,1497251054504882180,Fri Feb 25 16:44:03 +0000 2022,Mike Hudema,Unceded Squamish Territory,Mike Hudema,Tweet (self-loop),[],"Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We must #actOnClimate.

#Climate #energy #renewableenergy #GreenNewDeal https://t.co/z1JgqgVpqU",8.2,10.1,10.1
1797,1497246581137055774,Fri Feb 25 16:26:17 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Opinion: Is Tesla Losing Its ""Why""? https://t.co/YkUMrd5Ctd #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy",0.0,17.8,17.8
1812,1497244328900833282,Fri Feb 25 16:17:20 +0000 2022,renewables,,zxcxz,RT,['zxcxz'],RT @Zxcxz_xyz: Study: Product means more than gas prices in stoking EV demand https://t.co/Q0ald6tuAY #EVNews #ElectricVehicles #Renewables…,0.0,8.6,8.6
1813,1497244030027145236,Fri Feb 25 16:16:08 +0000 2022,hislop_uni-up,LA--Louisiana,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
1814,1497243982442766355,Fri Feb 25 16:15:57 +0000 2022,treasec&uni,MD--Maryland,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
1815,1497243815236747266,Fri Feb 25 16:15:17 +0000 2022,sandova-just for uni,MS--Mississippi,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
1816,1497243763319660548,Fri Feb 25 16:15:05 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],Study: Product means more than gas prices in stoking EV demand https://t.co/Q0ald6tuAY #EVNews #ElectricVehicles #Renewables #RenewableEnergy,0.0,9.1,9.1
1855,1497240064841158662,Fri Feb 25 16:00:23 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"War Is Hell, 3 Game-Changing Green Hydrogen Projects Launch Anyway https://t.co/Wsa6dz0xsk #Tesla #EV #ClimateChange #Renewables #RenewableEnergy",0.0,37.8,37.8
1860,1497238927517777920,Fri Feb 25 15:55:52 +0000 2022,Granite Creek Copper-Gold,,Pembridge Resources,RT,['Pembridge Resources'],"RT @PembridgeRes: 𝗖𝗼𝗽𝗽𝗲𝗿 𝗕𝗼𝗼𝗺

Copper prices last year broke 2 records and demand for the metal is expected to continue growing.

@Pembridg…",6.8,17.2,17.2
1861,1497238423308050445,Fri Feb 25 15:53:52 +0000 2022,Adam Stern,,Offshore WIND,RT,['Offshore WIND'],RT @OffshoreWINDbiz: One lease site alone now went beyond USD 1 billion in the New York Bight offshore wind auction: https://t.co/2I4lTCD0U…,0.0,9.1,9.1
1864,1497237880971796480,Fri Feb 25 15:51:42 +0000 2022,Al Qalam Institute of Ateneo de Davao University,Ateneo de Davao University,Peter MacArthur🇨🇦,RT,['Peter MacArthur🇨🇦'],RT @AmbMacArthur: #RenewableEnergy can help combat #ClimateCrisis disasters,19.7,43.8,43.8
1870,1497236394632105984,Fri Feb 25 15:45:48 +0000 2022,CAC Indiana,Indiana,CAC Indiana,Tweet (self-loop),['Kerwin Olson'],"“We are hopeful this announcement leads to significant investments in #distributedenergy, #energyefficiency + affordable #renewableenergy, rather than…costly, dirty + unreliable fossil gas plants and even more expensive + dangerous small modular #nuclear reactors.” —@KerwinOlson",12.3,15.1,15.1
1906,1497230669499572230,Fri Feb 25 15:23:03 +0000 2022,Offshore WIND,"Rotterdam, The Netherlands",Offshore WIND,Tweet (self-loop),['Bureau of Ocean Energy Management'],"One lease site alone now went beyond USD 1 billion in the New York Bight offshore wind auction: https://t.co/2I4lTCD0UZ

#OffshoreWind #RenewableEnergy #NewYork #NewJersey @BOEM https://t.co/qMku5EJQlT",0.0,7.7,7.7
